snr,comb_amp,overlap,k,bias_plus,bias_plus,bias_plus,coverage,coverage,coverage
,,,,median,mean,max,median,mean,max
0.5,10.0,False,36,99.99999362517306,99.99999807862147,100.00002218459281,0.0,0.0,0.0
0.5,10.0,False,37,99.99999866840339,100.00000635408341,100.00003385817156,0.0,0.0,0.0
0.5,10.0,False,38,99.99999794412113,99.99999898310378,100.0000328707727,0.0,0.0,0.0
0.5,10.0,False,39,99.99999766043777,100.000002113647,100.00003205721194,0.0,0.0,0.0
0.5,10.0,False,40,100.00000172772218,100.00000377277104,100.00002040951347,0.0,0.0,0.0
0.5,10.0,False,41,100.00000297658971,100.00000572817687,100.00002775198689,0.0,0.0,0.0
0.5,10.0,False,42,100.00000868909436,100.00000764466054,100.00002624495221,0.0,0.0,0.0
0.5,10.0,False,43,100.00000948010677,100.00000826066275,100.00003105244028,0.0,0.0,0.0
0.5,10.0,False,44,100.00000927392355,100.000007934715,100.00003714710512,0.0,0.0,0.0
0.5,10.0,False,45,100.00000930068722,100.00000817478964,100.00003308127509,0.0,0.0,0.0
0.5,10.0,False,46,100.00000609926997,100.00000554261699,100.00002315409867,0.0,0.0,0.0
0.5,10.0,False,47,100.00001028119917,100.00000443452087,100.00002284214617,0.0,0.0,0.0
0.5,10.0,False,48,100.00000166937241,100.00000741163812,100.0000272839128,0.0,0.0,0.0
0.5,10.0,False,49,99.99999873223507,100.00000184362887,100.00003575895087,0.0,0.0,0.0
0.5,10.0,False,50,99.99999569984675,100.0000028372574,100.00003393617715,0.0,0.0,0.0
0.5,10.0,True,1,76.49937921919573,76.50558762200265,76.5271199403939,0.1,0.1,0.1
0.5,10.0,True,2,100.0137382180193,100.01396016044605,100.01615817368605,0.0,0.0,0.0
0.5,10.0,True,3,100.00002311693962,99.99999560102341,100.00013278031643,0.0,0.0,0.0
0.5,10.0,True,4,100.00000166040579,99.9999730948415,100.00013235389545,0.0,0.0,0.0
0.5,10.0,True,5,100.00002313279265,99.9999873450393,100.00008731656493,0.0,0.0,0.0
0.5,10.0,True,6,100.00001120592466,99.99999665915712,100.0001192069899,0.0,0.0,0.0
0.5,10.0,True,7,100.00001088106777,99.99999832393466,100.00012788879708,0.0,0.0,0.0
0.5,10.0,True,8,100.00001250439024,99.99999318409013,100.0001138683829,0.0,0.0,0.0
0.5,10.0,True,9,99.99999543661897,99.99998344846804,100.00009689391561,0.0,0.0,0.0
0.5,10.0,True,10,99.99999034955167,99.99997160124303,100.000051088361,0.0,0.0,0.0
0.5,10.0,True,11,99.99998916433006,99.99997173696747,100.00004087623401,0.0,0.0,0.0
0.5,10.0,True,12,99.99996367065575,99.99998054570456,100.00003023102894,0.0,0.0,0.0
0.5,10.0,True,13,100.0000066717991,99.99999308453364,100.00003018311153,0.0,0.0,0.0
0.5,10.0,True,14,100.00001622263147,99.99999356230042,100.00003397065328,0.0,0.0,0.0
0.5,10.0,True,15,100.00001292955656,99.99998648821455,100.0000347667625,0.0,0.0,0.0
0.5,10.0,True,16,100.0000104225349,99.99998914150261,100.00003850857343,0.0,0.0,0.0
0.5,10.0,True,17,100.00002124489782,99.99999511928492,100.00003263617265,0.0,0.0,0.0
0.5,10.0,True,18,100.00001538862672,99.99999599782647,100.00002612870357,0.0,0.0,0.0
0.5,10.0,True,19,100.0000224945577,100.00001683851681,100.00005002358635,0.0,0.0,0.0
0.5,10.0,True,20,100.00002913908628,100.0000176370764,100.00004985831949,0.0,0.0,0.0
0.5,10.0,True,21,99.99999269992374,100.00000557920228,100.00003850188699,0.0,0.0,0.0
0.5,10.0,True,22,99.99998807407448,100.00000398485594,100.00004056151657,0.0,0.0,0.0
0.5,10.0,True,23,99.99998312798229,99.9999970200337,100.00002889995868,0.0,0.0,0.0
