snr,comb_amp,overlap,k,seed,bias_plus,coverage
0.5,5.0,True,25,43,99.9999788655125,0.0
0.5,5.0,True,26,43,99.99997910762397,0.0
0.5,5.0,True,27,43,99.99998359790273,0.0
0.5,5.0,True,28,43,99.9999795135343,0.0
0.5,5.0,True,29,43,99.99998544087568,0.0
0.5,5.0,True,30,43,99.99999635262041,0.0
0.5,5.0,True,31,43,100.00000321491734,0.0
0.5,5.0,True,32,43,99.99999925635245,0.0
0.5,5.0,True,33,43,100.000010482307,0.0
0.5,5.0,True,34,43,100.00001002952348,0.0
0.5,5.0,True,35,43,99.99999921221048,0.0
0.5,5.0,True,36,43,99.99999677808879,0.0
0.5,5.0,True,37,43,100.0000012341815,0.0
0.5,5.0,True,38,43,100.00000117768255,0.0
0.5,5.0,True,39,43,100.00000440458322,0.0
0.5,5.0,True,40,43,99.99999891793823,0.0
0.5,5.0,True,41,43,99.99998071360447,0.0
0.5,5.0,True,42,43,99.99999783931123,0.0
0.5,5.0,True,43,43,99.99999546743567,0.0
0.5,5.0,True,44,43,99.99999567845079,0.0
0.5,5.0,True,45,43,100.00000390990755,0.0
0.5,5.0,True,46,43,100.00000669467873,0.0
0.5,5.0,True,47,43,100.00000437012818,0.0
0.5,5.0,True,48,43,100.0000009025091,0.0
0.5,5.0,True,49,43,99.99998456127746,0.0
0.5,5.0,True,50,43,99.99998962734006,0.0
0.5,5.0,True,1,44,110.30001222105608,0.05
0.5,5.0,True,2,44,100.01527345540447,0.0
0.5,5.0,True,3,44,99.99973902364266,0.0
0.5,5.0,True,4,44,99.99973964504498,0.0
0.5,5.0,True,5,44,99.99980369815424,0.0
0.5,5.0,True,6,44,99.99983056596125,0.0
0.5,5.0,True,7,44,99.9998269926202,0.0
0.5,5.0,True,8,44,99.99982727063099,0.0
0.5,5.0,True,9,44,99.99983456114973,0.0
0.5,5.0,True,10,44,99.99985979855161,0.0
0.5,5.0,True,11,44,99.99985965314875,0.0
0.5,5.0,True,12,44,99.99992999994589,0.0
0.5,5.0,True,13,44,99.99994535159829,0.0
0.5,5.0,True,14,44,99.99992571841668,0.0
0.5,5.0,True,15,44,99.99989446735673,0.0
0.5,5.0,True,16,44,99.99992112004875,0.0
0.5,5.0,True,17,44,99.9999578124424,0.0
0.5,5.0,True,18,44,99.99998310390077,0.0
0.5,5.0,True,19,44,99.99999148123572,0.0
0.5,5.0,True,20,44,99.99999035908957,0.0
0.5,5.0,True,21,44,99.9999926803978,0.0
0.5,5.0,True,22,44,99.99998804030929,0.0
0.5,5.0,True,23,44,99.99996309309414,0.0
0.5,5.0,True,24,44,99.9999530819303,0.0
0.5,5.0,True,25,44,99.99995084253354,0.0
0.5,5.0,True,26,44,99.9999579077308,0.0
0.5,5.0,True,27,44,99.99996186893183,0.0
0.5,5.0,True,28,44,99.99993588563949,0.0
0.5,5.0,True,29,44,99.9999358182913,0.0
0.5,5.0,True,30,44,99.99995553477802,0.0
0.5,5.0,True,31,44,99.99995601908202,0.0
0.5,5.0,True,32,44,99.99995590938539,0.0
0.5,5.0,True,33,44,99.99996836786386,0.0
0.5,5.0,True,34,44,99.99997379136585,0.0
0.5,5.0,True,35,44,99.99996863507853,0.0
0.5,5.0,True,36,44,99.99996655252514,0.0
0.5,5.0,True,37,44,99.99997930834037,0.0
0.5,5.0,True,38,44,99.99997948600848,0.0
0.5,5.0,True,39,44,99.99998184270149,0.0
0.5,5.0,True,40,44,99.99996804405541,0.0
0.5,5.0,True,41,44,99.99998668580443,0.0
0.5,5.0,True,42,44,99.99998925060012,0.0
0.5,5.0,True,43,44,99.99999725219706,0.0
0.5,5.0,True,44,44,99.99999842892248,0.0
0.5,5.0,True,45,44,99.9999977455652,0.0
0.5,5.0,True,46,44,99.9999952957603,0.0
0.5,5.0,True,47,44,100.00000304631843,0.0
0.5,5.0,True,48,44,99.99999433205218,0.0
0.5,5.0,True,49,44,100.00000031350687,0.0
0.5,5.0,True,50,44,100.00000023414677,0.0
0.5,5.0,True,1,45,110.22814990487895,0.05
0.5,5.0,True,2,45,100.01187218198977,0.0
0.5,5.0,True,3,45,100.00006935590757,0.0
0.5,5.0,True,4,45,100.00000165540622,0.0
0.5,5.0,True,5,45,100.0000231259089,0.0
0.5,5.0,True,6,45,100.00001023427379,0.0
0.5,5.0,True,7,45,100.00001086479921,0.0
0.5,5.0,True,8,45,100.00001612140943,0.0
0.5,5.0,True,9,45,100.00002820633722,0.0
0.5,5.0,True,10,45,99.99999034215588,0.0
0.5,5.0,True,11,45,99.99998917235762,0.0
0.5,5.0,True,12,45,99.99995502956861,0.0
0.5,5.0,True,13,45,99.99996649968227,0.0
0.5,5.0,True,14,45,99.99996586942437,0.0
0.5,5.0,True,15,45,99.99996356911514,0.0
0.5,5.0,True,16,45,99.99995322147666,0.0
0.5,5.0,True,17,45,99.99993984620387,0.0
0.5,5.0,True,18,45,99.99993470271309,0.0
0.5,5.0,True,19,45,99.99998096371341,0.0
0.5,5.0,True,20,45,99.99997986391247,0.0
0.5,5.0,True,21,45,99.99998445392524,0.0
0.5,5.0,True,22,45,99.99998430823959,0.0
0.5,5.0,True,23,45,99.99998191623432,0.0
0.5,5.0,True,24,45,99.9999671032894,0.0
0.5,5.0,True,25,45,99.99999153638086,0.0
